sample ID	forward sequence count
L4S137	18787
L4S63	17168
L4S112	16268
L1S8	12388
L2S240	11986
L1S57	11752
L1S105	11340
L1S208	11337
L6S93	11271
L2S175	10692
L1S76	10101
L6S20	9777
L1S140	9738
L6S68	9559
L2S382	9301
L2S155	9263
L1S281	8907
L2S222	8386
L1S257	8216
L2S204	7299
L2S357	6254
L2S309	3836
L5S104	3461
L5S222	3397
L5S203	3039
L5S174	2792
L5S240	2667
L5S155	2493
L3S294	2318
L3S378	2147
L3S360	2086
L3S242	2055
L3S313	1996
L3S341	1854
